Date,Open,High,Low,Close,Volume,ADJ_Close
02-AUG-2018,11324.15,11324.15,11235.85,11244.70,216460000,11324.15
01-AUG-2018,11364.45,11389.90,11314.65,11346.2,277790000,11346.2
31-JUL-2018,11311.05,11366,11267.75,11356.5,264430889,11356.5
30-JUL-2018,11296.65,11328.1,11261.45,11319.55,287435926,11319.55
27-JUL-2018,11232.75,11283.4,11210.25,11278.35,324343457,11278.35
26-JUL-2018,11132.95,11185.85,11125.7,11167.3,376657398,11167.3
25-JUL-2018,11148.4,11157.15,11113.25,11132.0,212333169,11132.0
24-JUL-2018,11109,11143.4,11092.5,11134.3,212247395,11134.3
23-JUL-2018,11019.85,11093.4,11010.95,11084.75,236153085,11084.75
20-JUL-2018,10963.5,11030.25,10946.2,11010.2,193144113,11010.2
19-JUL-2018,10999.5,11006.5,10935.45,10957.1,222056399,10957.1
18-JUL-2018,11060.2,11076.2,10956.3,10980.45,232502459,10980.45
17-JUL-2018,10939.65,11018.5,10925.6,11008.05,217107580,11008.05
16-JUL-2018,11018.95,11019.5,10926.25,10936.85,216971413,10936.85
13-JUL-2018,11056.9,11071.35,10999.75,11018.9,241670818,11018.9
12-JUL-2018,11006.95,11078.3,10999.65,11023.2,256034815,11023.2
11-JUL-2018,10956.4,10976.65,10923,10948.3,229211999,10948.3
10-JUL-2018,10902.75,10956.9,10876.65,10947.25,203061980,10947.25
09-JUL-2018,10838.3,10860.35,10807.15,10852.9,189331016,10852.9
06-JUL-2018,10744.15,10816.35,10735.05,10772.65,256547706,10772.65
05-JUL-2018,10786.05,10786.05,10726.25,10749.75,227267176,10749.75
04-JUL-2018,10715,10777.15,10677.75,10769.9,179268271,10769.9
03-JUL-2018,10668.6,10713.3,10630.25,10699.9,208371545,10699.9
02-JUL-2018,10732.35,10736.15,10604.65,10657.3,304536687,10657.3
29-JUN-2018,10612.85,10723.05,10612.35,10714.3,250327878,10714.3
28-JUN-2018,10660.8,10674.2,10557.7,10589.1,363157327,10589.1
27-JUN-2018,10785.5,10785.5,10652.4,10671.4,253620792,10671.4
26-JUN-2018,10742.7,10805.25,10732.55,10769.15,226846382,10769.15
25-JUN-2018,10822.9,10831.05,10753.05,10762.45,236693278,10762.45
22-JUN-2018,10742.7,10837,10710.45,10821.85,236898415,10821.85
21-JUN-2018,10808.45,10809.6,10725.9,10741.1,230507383,10741.1
20-JUN-2018,10734.65,10781.8,10724.05,10772.05,199467082,10772.05
19-JUN-2018,10789.45,10789.45,10701.2,10710.45,231382790,10710.45
18-JUN-2018,10830.2,10830.2,10787.35,10799.85,202727202,10799.85
15-JUN-2018,10808.65,10834,10755.4,10817.7,314764425,10817.7
14-JUN-2018,10832.9,10833.7,10773.55,10808.05,190031664,10808.05
13-JUN-2018,10887.5,10893.25,10842.65,10856.7,220003032,10856.7
12-JUN-2018,10816.15,10856.55,10789.4,10842.85,204419184,10842.85
11-JUN-2018,10781.85,10850.55,10777.05,10786.95,217849903,10786.95
08-JUN-2018,10736.4,10779.45,10709.05,10767.65,215942528,10767.65
07-JUN-2018,10722.6,10818,10722.6,10768.35,227663151,10768.35
06-JUN-2018,10603.45,10698.35,10587.5,10684.65,195761429,10684.65
05-JUN-2018,10630.7,10633.15,10550.9,10593.15,172898027,10593.15
04-JUN-2018,10765.95,10770.3,10618.35,10628.5,210148313,10628.5
01-JUN-2018,10738.45,10764.75,10681.5,10696.2,227355567,10696.2
31-MAY-2018,10670.1,10763.8,10620.4,10736.15,629198569,10736.15
30-MAY-2018,10579,10648.7,10558.45,10614.35,246124259,10614.35
29-MAY-2018,10689.4,10717.25,10616.1,10633.3,232761575,10633.3
28-MAY-2018,10648.35,10709.8,10640.55,10688.65,239786001,10688.65
25-MAY-2018,10533.05,10628.05,10524,10605.15,268914888,10605.15
24-MAY-2018,10464.85,10535.15,10419.8,10513.85,306792497,10513.85
23-MAY-2018,10521.1,10533.55,10417.8,10430.35,299919120,10430.35
22-MAY-2018,10518.45,10558.6,10490.55,10536.7,249236637,10536.7
21-MAY-2018,10616.7,10621.7,10505.8,10516.7,197294184,10516.7
18-MAY-2018,10671.85,10674.95,10589.1,10596.4,229908939,10596.4
17-MAY-2018,10775.6,10777.25,10664.5,10682.7,220738923,10682.7
16-MAY-2018,10751.95,10790.45,10699.7,10741.1,238221884,10741.1
15-MAY-2018,10812.6,10929.2,10781.4,10801.85,262202312,10801.85
14-MAY-2018,10815.15,10834.85,10774.75,10806.6,176697512,10806.6
11-MAY-2018,10741.95,10812.05,10724.45,10806.5,209392114,10806.5
10-MAY-2018,10779.65,10785.55,10705,10716.55,197988475,10716.55
09-MAY-2018,10693.35,10766.25,10689.85,10741.7,222115640,10741.7
08-MAY-2018,10757.9,10758.55,10689.4,10717.8,278118616,10717.8
07-MAY-2018,10653.15,10725.65,10635.65,10715.5,173620240,10715.5
04-MAY-2018,10700.45,10700.45,10601.6,10618.25,192296041,10618.25
03-MAY-2018,10720.15,10720.6,10647.45,10679.65,190869804,10679.65
02-MAY-2018,10783.85,10784.65,10689.8,10718.05,236757172,10718.05
30-APR-2018,10705.75,10759,10704.6,10739.35,179163468,10739.35
27-APR-2018,10651.65,10719.8,10647.55,10692.3,306671172,10692.3
26-APR-2018,10586.5,10628.4,10559.65,10617.8,345536167,10617.8
25-APR-2018,10612.4,10612.6,10536.45,10570.55,195129613,10570.55
24-APR-2018,10578.1,10636.8,10569,10614.35,225972673,10614.35
